instance;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;media;desvio padrao;otimo;min;diferença;diferença perc.
A-n32-k5;815,62145856548;816,96253614442;789,167973145075;818,578595864682;855,485099605343;790,314580700758;789,643400154504;814,145209958401;814,301686736437;839,166293123752;814,338683399885;21,490470044852;784,00;789,167973145075;5,1679731450746;0,659180248096258
A-n33-k5;711,418356214631;761,869794406706;687,741916390424;739,499596820239;703,083294332673;757,308466368864;725,169697714664;697,866878550708;687,896019260222;752,738588656844;722,459260871597;28,8371694697643;661,00;687,741916390424;26,7419163904237;4,04567570203083
A-n33-k6;789,744209471425;753,925315336773;779,76936603425;798,71553158026;776,328172834309;776,328172834309;753,925315336773;776,513997982547;778,719467894074;743,920558016098;772,789010732082;17,0865488577459;742,00;743,920558016098;1,92055801609786;0,258835312142569
A-n34-k5;809,905598926047;805,439339542976;804,511687057767;818,278407819701;810,126718698033;810,126718698033;809,905598926047;822,707565717249;809,905598926047;798,235379216859;809,914261352876;6,82582600784037;778,00;798,235379216859;20,2353792168592;2,60094848545749
A-n36-k5;929,171051056008;864,921386140593;926,807382527491;932,396745608996;869,464382808408;922,695216314707;925,157963648941;955,820569992875;952,058050415464;928,560411550101;920,705316006359;30,3399934005543;799,00;864,921386140593;65,921386140593;8,25048637554355
A-n37-k5;723,173290796999;711,292800984945;704,33669038122;738,501357075544;735,469871407756;730,024351628786;724,465683117809;712,517519840485;725,470139271638;737,817825540089;724,306953004527;11,7905698750836;669,00;704,33669038122;35,3366903812201;5,28201649943501
A-n37-k6;1059,95790801932;1035,43133793655;1008,62566390465;1032,34067409773;1059,61601301858;1147,21179048675;1035,25005518136;1032,16630612116;1036,66364621835;1065,35039520811;1051,26137901926;37,7283815148301;949,00;1008,62566390465;59,6256639046497;6,28299935770809
A-n38-k5;853,097076488126;863,534570405937;812,250431014353;848,683024318233;857,310277190611;821,567604978754;833,769227525358;835,830558368391;854,001859313666;875,260520860924;845,530515046435;19,4363319228823;730,00;812,250431014353;82,2504310143529;11,2671823307333
A-n39-k5;883,863258784106;927,167153181001;923,812414057585;916,294373094716;917,696536554986;903,016070712253;934,424743576242;894,581172955813;919,669245150825;931,48755713402;915,201252520155;16,4493894162025;822,00;883,863258784106;61,8632587841057;7,52594389101042
A-n39-k6;881,954942341623;884,256535385676;886,75886247513;870,725226766128;876,431194634712;884,343115520869;860,374798153209;871,45639042017;884,688739940686;881,992360583851;878,298216622205;8,43522696900011;831,00;860,374798153209;29,3747981532089;3,53487342397218
A-n44-k6;1030,2485361422;1101,33501201041;1080,71461870087;1017,38245015192;1072,2117776504;1026,45736063528;1049,63967690907;938,206516546825;1040,99843894173;1016,32710998312;1037,35214976718;44,961018079983;937,00;938,206516546825;1,2065165468249;0,128763772339902
A-n45-k6;1079,28380239691;1096,03415207605;1086,58630468095;1082,17145572279;1060,47541217724;1095,6520806875;1080,85491848669;1067,40557480315;1040,2775454376;1094,10199920389;1078,28432456728;17,7593591862926;944,00;1040,2775454376;96,2775454375953;10,198892525169
A-n45-k7;1362,95567288946;1283,3346542105;1309,02026323069;1275,38605228415;1269,86090236168;1325,98161377558;1314,98536011591;1231,15895562644;1271,92923396881;1268,97833405412;1291,35910425173;37,2366050629853;1.146,00;1231,15895562644;85,1589556264428;7,43097344035277
A-n46-k7;1020,42627606901;1045,67759159791;1027,83848775734;1097,27886495357;1021,05926356439;1082,56598332372;1024,86877531765;1018,50479770777;1037,33316854487;1030,06783176022;1040,56210405965;27,5042399287052;914,00;1018,50479770777;104,504797707766;11,4337853071954
A-n48-k7;1203,47467883495;1184,42325000691;1179,73890774921;1146,14430511369;1207,71679495804;1214,39953391863;1183,05313168755;1151,82262365399;1184,00839913863;1153,45379824214;1180,82354233037;24,0039871955599;1.073,00;1146,14430511369;73,1443051136903;6,81680383165799
A-n53-k7;1102,47479223663;1099,12242922401;1112,51559051648;1131,9998577562;1126,65621748976;1106,45524989987;1113,44054793939;1094,31409103381;1095,90666323271;1107,04693848527;1108,99323778141;12,5182497501493;1.010,00;1094,31409103381;84,3140910338052;8,34792980532724
A-n54-k7;1317,27159463776;1360,86168265761;1325,74831909341;1304,98307639361;1290,24676975905;1308,37436575212;1328,20582244097;1332,88045094154;1330,42186204409;1306,26946229184;1320,5263406012;19,6742827687848;1.167,00;1290,24676975905;123,246769759046;10,5609914103724
A-n55-k9;1204,95546149094;1126,89925081631;1195,63717244778;1156,73708766075;1220,03074835115;1187,3042388686;1180,54335401947;1144,27054237178;1172,50251907438;1204,57654023971;1179,34569153409;29,4708675822562;1.073,00;1126,89925081631;53,899250816314;5,02322933982422
A-n60-k9;1539,68312471532;1548,97493182462;1496,03226022274;1519,67339195926;1527,65186996238;1565,87736876857;1547,85063276487;1525,34628051754;1537,2482621142;1556,04863031995;1536,43867531694;20,1763383629113;1.354,00;1496,03226022274;142,032260222741;10,4898271951803
A-n61-k9;1186,2669100344;1163,47961153148;1203,20397862682;1150,88413148951;1197,98363610421;1162,13054733063;1175,33179004165;1166,07474484606;1183,6416029011;1190,28626350222;1177,92832164081;17,1040580551989;1.034,00;1150,88413148951;116,884131489509;11,3040746121382
A-n62-k8;1550,06957243739;1500,36825607486;1543,86065896191;1669,46830819687;1537,76874681743;1533,68644342176;1504,92546202365;1503,95431672375;1475,75221004771;1494,56326878609;1531,44172434914;54,2455396539514;1.288,00;1475,75221004771;187,752210047706;14,5770349415921
A-n63-k10;1484,08286490972;1473,12398205213;1420,69945009662;1449,37455367641;1423,17736332886;1448,63836117476;1442,9758382167;1555,08581880172;1464,57037662867;1439,57848406478;1460,13070929504;38,9637165346;1.314,00;1420,69945009662;106,699450096618;8,12020168162999
A-n63-k9;1723,12508155718;1803,96278391374;1842,96393713928;1804,34101068112;1740,64677676378;1797,29342990545;1873,02769283185;1848,31485589532;1841,67840171257;1822,40451584386;1809,77584862441;47,4588479013947;1.616,00;1723,12508155718;107,125081557179;6,62902732408286
A-n64-k9;1605,19431613451;1590,51378048509;1584,41310730457;1603,14871263534;1611,23817236693;1608,34579865374;1595,30621686568;1628,75775000992;1570,73371262554;1619,97312920865;1601,762469629;17,1243881647397;1.401,00;1570,73371262554;169,733712625544;12,1151829140288
A-n65-k9;1309,60920889334;1317,68946077603;1321,00743492103;1316,62854564788;1302,42411128965;1337,59252071031;1343,86045429615;1420,03676746531;1314,76509117142;1312,38979407377;1329,60033892449;34,1311652370641;1.174,00;1302,42411128965;128,424111289652;10,93902140457
