instance,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
A-n32-k5,810.9249550962616,877.2010225631965,819.9739860576981,806.7558751868626,829.9535087245639,816.2926391117344,797.3878758772253,823.3835487061226,814.3016867364369,862.3388320398942
A-n33-k5,708.6459555052954,684.7560897663705,689.6037485667752,706.2906931159332,750.5401216064747,716.7908192590663,684.0753780439782,726.5130309980343,662.1100976492221,704.1526220463161
A-n33-k6,759.5646589907838,787.1502847196867,743.4430828235434,751.4547158800455,790.4656483101722,780.7997620175006,801.4546659505772,784.264735595409,770.1411712886182,769.1150449288804
A-n34-k5,813.7353325937684,804.0299180257377,829.4679551998235,813.366552007961,804.2453797948517,823.0253667477102,805.3955652581778,822.7075657172488,825.2667619359169,808.8394393003886
A-n36-k5,943.4352846905521,942.0622150225527,867.4136091441769,929.3331313116532,921.7253813021189,899.1785314090022,875.5660028199876,927.5476558771394,900.2379167659346,895.9647277585389
A-n37-k5,731.6978585364593,722.5479115027367,734.8827846561686,729.2137846462571,717.7528469754751,764.4320580625232,714.8860553542113,730.876758976139,729.3891678651619,718.3964174753168
A-n37-k6,1035.963134098355,1078.6109099504586,1104.5463585538873,1069.3901327997817,973.5017432304028,1001.2052581865878,1040.381501071251,1051.7599813253144,1019.2536958730824,1010.7350743512443
A-n38-k5,819.7946714489269,867.5591272784545,880.099757647014,902.8877068492013,859.5953435179779,810.3745427167833,823.6104145160252,839.135206258178,851.6575001682345,762.0276121036429
A-n39-k5,894.6700039164698,936.4755824764727,877.9771733917567,880.6479204201424,898.3085483608867,909.1679581068815,892.6186198576438,952.6400884659427,904.0192962379211,880.6877211388886
A-n39-k6,885.8132026332929,866.5118519056665,864.0151321085863,854.3809337955502,877.6224861090935,873.462935712115,865.3739111698591,876.9349196557811,891.556275425424,884.8701632916064
A-n44-k6,1100.7987346085815,1033.4495671048726,1005.0508987842537,1093.1697577979576,1021.8727272775992,1001.9771451650942,1044.3916525254795,1057.0938907629697,1006.4296755330853,1009.391892824133
A-n45-k6,1098.264613229658,1109.464695834249,1114.6456682800458,1078.1858235405346,1049.3442212129753,1069.2054740751341,1057.5708096318358,1101.4689238269648,1061.975067075301,1043.151111444019
A-n45-k7,1304.6898400800205,1276.6709664561176,1288.3232047383724,1334.462082631567,1282.2388951868725,1296.2501353973523,1345.3886093240608,1293.248352357421,1349.2212074980064,1270.4713194335973
A-n46-k7,999.498487766728,1076.171326737388,1036.611259096957,1044.4358804762473,1023.7179190767262,1017.6131409066728,1055.420587583893,1077.7831134190553,1060.68561673882,1043.9585231041206
A-n48-k7,1141.7714105264606,1164.1762294671482,1163.7127860132155,1254.5333768994678,1203.926502542664,1191.9380450980334,1171.7397417260397,1185.2224760583852,1216.1473083063506,1173.833354003176
A-n53-k7,1139.693246701922,1098.5841570187818,1099.655321555754,1114.0970046276273,1074.1532849942464,1089.8904863242096,1135.1803726896696,1107.3160538682052,1117.4216394901005,1120.5543429999498
A-n54-k7,1309.7188553354997,1329.4871876460227,1350.8664880303713,1326.3830473930088,1266.7725814449473,1316.3880354660587,1299.937894135663,1320.5411009505588,1370.5919587072035,1316.878073359396
A-n55-k9,1226.2375812167259,1200.023224699492,1178.3289525194364,1153.825458451695,1201.7691265658686,1158.1605242495016,1203.9734182623197,1143.4039121674555,1169.4438342275753,1183.924463449688
A-n60-k9,1536.706370576113,1558.8632852438616,1578.4004849471846,1533.0769314086942,1536.2239230064808,1552.1794874631564,1569.8902811359453,1560.662051334427,1554.492374666783,1475.0343491870772
A-n61-k9,1190.0907650737824,1195.3319488212717,1190.9292434005768,1151.524405539055,1188.2504666547636,1190.20261717811,1183.5306134879809,1149.0565799344095,1179.3358669302893,1191.9532531289055
A-n62-k8,1447.2435334064755,1529.6319286188627,1556.850766349077,1591.7455292072768,1457.0967276865674,1501.9585570889185,1491.3550766238632,1508.5214725886192,1565.409272953635,1433.5223281669646
A-n63-k10,1511.5625910123633,1422.2866883961158,1436.0000655986787,1477.2613641274543,1464.653303730794,1438.1161618886515,1419.036747776541,1430.681935473163,1487.4808845399318,1468.8675557787392
A-n63-k9,1793.118077330436,1854.4475427698346,1731.216880726882,1920.892984026733,1733.834345380784,1790.2740577900995,1873.5830574516947,1935.0394204614277,1813.7969867244556,1819.341290267395
A-n64-k9,1583.8358070608028,1571.946869865994,1644.2671032786943,1609.3508817505167,1593.857272081951,1614.3874678347177,1618.844042139988,1627.8789188042913,1640.0225708303835,1630.4519740488317
A-n65-k9,1399.642879474513,1373.3656520624563,1341.8980339375996,1331.5153509100485,1274.6404330552284,1416.5564805052543,1349.3178834611565,1374.4375669368235,1348.5720663454545,1219.1431797350442
A-n69-k9,1283.0467106788922,1265.4858232586914,1265.2118911980808,1305.270756409596,1257.5180802416626,1277.2060140850053,1368.2828188243275,1331.159070580567,1267.7439543965243,1243.4343611455552
A-n80-k10,2204.2519277226475,2214.334378895191,2259.788924634405,2224.9251694693367,2239.2276254490384,2160.667248938161,2234.4199173201823,2050.887518171283,2215.8061756653747,2146.730146784292
