instance;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;media;desvio padrao;otimo;min;diferença;diferença perc.
A-n32-k5;810,92;877,2;819,97;806,76;829,95;816,29;797,39;823,38;814,3;862,34;825,85139301;23,7654241113534;784;797,39;13,39;1,70790816326531
A-n33-k5;708,65;684,76;689,6;706,29;750,54;716,79;684,08;726,51;662,11;704,15;703,347855655747;23,6397159567938;661;662,11;1,11000000000001;0,167927382753397
A-n33-k6;759,56;787,15;743,44;751,45;790,47;780,8;801,45;784,26;770,14;769,12;773,785377050522;17,4301308476904;742;743,44;1,44000000000005;0,194070080862541
A-n34-k5;813,74;804,03;829,47;813,37;804,25;823,03;805,4;822,71;825,27;808,84;815,007983658158;8,99450019044689;778;804,03;26,03;3,34575835475579
A-n36-k5;943,44;942,06;867,41;929,33;921,73;899,18;875,57;927,55;900,24;895,96;910,246445610166;25,2451252051241;799;867,41;68,41;8,56195244055069
A-n37-k5;731,7;722,55;734,88;729,21;717,75;764,43;714,89;730,88;729,39;718,4;729,407564405045;13,3384478850035;669;714,89;45,89;6,8594917787743
A-n37-k6;1035,96;1078,61;1104,55;1069,39;973,5;1001,21;1040,38;1051,76;1019,25;1010,74;1038,53477894404;37,23973696523;949;973,5;24,5;2,58166491043204
A-n38-k5;819,79;867,56;880,1;902,89;859,6;810,37;823,61;839,14;851,66;762,03;841,674188250444;38,012087739481;730;762,03;32,03;4,38767123287671
A-n39-k5;894,67;936,48;877,98;880,65;898,31;909,17;892,62;952,64;904,02;880,69;902,721291237301;23,3362927630139;822;877,98;55,98;6,81021897810219
A-n39-k6;885,81;866,51;864,02;854,38;877,62;873,46;865,37;876,93;891,56;884,87;874,054181180698;10,9682148512366;831;854,38;23,38;2,81347773766547
A-n44-k6;1100,8;1033,45;1005,05;1093,17;1021,87;1001,98;1044,39;1057,09;1006,43;1009,39;1037,3625942384;34,4498826686826;937;1001,98;64,98;6,93489861259338
A-n45-k6;1098,26;1109,46;1114,65;1078,19;1049,34;1069,21;1057,57;1101,47;1061,98;1043,15;1078,32764081507;24,6585294370704;944;1043,15;99,1500000000001;10,5031779661017
A-n45-k7;1304,69;1276,67;1288,32;1334,46;1282,24;1296,25;1345,39;1293,25;1349,22;1270,47;1304,09646131034;27,2989199691507;1146;1270,47;124,47;10,8612565445026
A-n46-k7;999,5;1076,17;1036,61;1044,44;1023,72;1017,61;1055,42;1077,78;1060,69;1043,96;1043,58958549066;23,9295783018466;914;999,5;85,5;9,35448577680525
A-n48-k7;1141,77;1164,18;1163,71;1254,53;1203,93;1191,94;1171,74;1185,22;1216,15;1173,83;1186,70012306409;30,3949895147644;1073;1141,77;68,77;6,40913327120223
A-n53-k7;1139,69;1098,58;1099,66;1114,1;1074,15;1089,89;1135,18;1107,32;1117,42;1120,55;1109,65459102705;19,0570833487495;1010;1074,15;64,1500000000001;6,35148514851487
A-n54-k7;1309,72;1329,49;1350,87;1326,38;1266,77;1316,39;1299,94;1320,54;1370,59;1316,88;1320,75652224687;26,4608139535692;1167;1266,77;99,77;8,54927163667523
A-n55-k9;1226,24;1200,02;1178,33;1153,83;1201,77;1158,16;1203,97;1143,4;1169,44;1183,92;1181,90904958098;24,8636035513104;1073;1143,4;70,4000000000001;6,56104380242313
A-n60-k9;1536,71;1558,86;1578,4;1533,08;1536,22;1552,18;1569,89;1560,66;1554,49;1475,03;1545,55295389697;27,3758238800965;1354;1475,03;121,03;8,93870014771048
A-n61-k9;1190,09;1195,33;1190,93;1151,52;1188,25;1190,2;1183,53;1149,06;1179,34;1191,95;1181,02057601491;15,9443710725226;1034;1149,06;115,06;11,1276595744681
A-n62-k8;1447,24;1529,63;1556,85;1591,75;1457,1;1501,96;1491,36;1508,52;1565,41;1433,52;1508,33351926903;50,3046747808077;1288;1433,52;145,52;11,2981366459627
A-n63-k10;1511,56;1422,29;1436;1477,26;1464,65;1438,12;1419,04;1430,68;1487,48;1468,87;1455,59472983224;29,38163926901;1314;1419,04;105,04;7,99391171993911
A-n63-k9;1793,12;1854,45;1731,22;1920,89;1733,83;1790,27;1873,58;1935,04;1813,8;1819,34;1826,55446429297;66,3278016337811;1616;1731,22;115,22;7,1299504950495
A-n64-k9;1583,84;1571,95;1644,27;1609,35;1593,86;1614,39;1618,84;1627,88;1640,02;1630,45;1613,48429076962;22,766657559857;1401;1571,95;170,95;12,2019985724483
A-n65-k9;1399,64;1373,37;1341,9;1331,52;1274,64;1416,56;1349,32;1374,44;1348,57;1219,14;1342,90895264236;55,4498868809372;1174;1219,14;45,1400000000001;3,84497444633731
A-n69-k9;1283,05;1265,49;1265,21;1305,27;1257,52;1277,21;1368,28;1331,16;1267,74;1243,43;1286,43594808189;36,1588648342002;1159;1243,43;84,4300000000001;7,28472821397757
A-n80-k10;2204,25;2214,33;2259,79;2224,93;2239,23;2160,67;2234,42;2050,89;2215,81;2146,73;2195,10390330499;58,1140796725824;1763;2050,89;287,89;16,3295519001702
